Order Date,Order ID,Invoice Number,Order Number,Order Type,Order Employee ID,Order Employee Name,Order Employee Custom ID,Note,Currency,Tax Amount,Tip,Service Charge,Credit Surcharge,Discount,Order Total,Payments Total,Payment Note,Refunds Total,Refund Credit Surcharge,Manual Refunds Total,Tender,Credit Card Auth Code,Credit Card Transaction ID,Order Payment State
17-Sep-2022 07:20 PM EDT,589EBKB5E9G1R,,93,,999VWR115M848,MICHAEL KOCAK,,,USD,2.72,6.43,,0.00,0.00,35.72,35.72,,0.00,0.00,0.00,Credit Card,01026D,226000506977,Paid
17-Sep-2022 07:18 PM EDT,3VNDTEFAFQ28R,,92,,999VWR115M848,MICHAEL KOCAK,,,USD,1.07,0.00,,0.00,0.00,14.07,14.07,,0.00,0.00,0.00,Cash,,,Paid
17-Sep-2022 07:17 PM EDT,6DCSMRRG7TQHM,,91,,999VWR115M848,MICHAEL KOCAK,,,USD,0.66,0.00,,0.00,0.00,8.66,8.66,,0.00,0.00,0.00,Debit Card,001980,226000506960,Paid
17-Sep-2022 07:16 PM EDT,5MGT7K644H11R,,90,,999VWR115M848,MICHAEL KOCAK,,,USD,0.25,0.49,,0.00,0.00,3.25,3.25,,0.00,0.00,0.00,Credit Card,017107,226000506943,Paid
17-Sep-2022 07:15 PM EDT,ZMMCDJYTCHW94,,89,,999VWR115M848,MICHAEL KOCAK,,,USD,1.49,0.00,,0.00,0.00,19.49,19.49,,0.00,0.00,0.00,Credit Card,817161,226000506926,Paid
17-Sep-2022 07:14 PM EDT,F0KM6XSJ3998T,,88,,999VWR115M848,MICHAEL KOCAK,,,USD,4.95,9.74,,0.00,0.00,43.30,64.95,,21.65,0.00,0.00,Debit Card,652766,226000506909,Paid
17-Sep-2022 07:13 PM EDT,DPMX665TSGXJT,,87,,999VWR115M848,MICHAEL KOCAK,,,USD,1.65,0.00,,0.00,0.00,21.65,21.65,,0.00,0.00,0.00,Credit Card,017344,226000506892,Paid
17-Sep-2022 07:11 PM EDT,0Y37B5RPZW47J,,86,,999VWR115M848,MICHAEL KOCAK,,,USD,3.30,0.00,,0.00,0.00,43.30,43.30,,0.00,0.00,0.00,Credit Card,06877Z,226000506875,Paid
17-Sep-2022 07:10 PM EDT,MB6ADAVGNDM68,,85,,999VWR115M848,MICHAEL KOCAK,,,USD,3.30,6.50,,0.00,0.00,43.30,43.30,,0.00,0.00,0.00,Debit Card,002815,226000506858,Paid
17-Sep-2022 07:09 PM EDT,2EFKMV40ER8Q8,,84,,999VWR115M848,MICHAEL KOCAK,,,USD,3.30,0.00,,0.00,0.00,43.30,43.30,,0.00,0.00,0.00,Debit Card,001518,226000506841,Paid
17-Sep-2022 07:08 PM EDT,Z6H1X8ES873N4,,83,,999VWR115M848,MICHAEL KOCAK,,,USD,1.32,2.60,,0.00,0.00,17.32,17.32,,0.00,0.00,0.00,Credit Card,017401,226000506824,Paid
17-Sep-2022 07:07 PM EDT,9RP5W5KDRZ86A,,82,,999VWR115M848,MICHAEL KOCAK,,,USD,2.15,0.00,,0.00,0.00,28.15,28.15,,0.00,0.00,0.00,Debit Card,002673,226000506807,Paid
17-Sep-2022 07:06 PM EDT,J7J1XANYATM32,,81,,999VWR115M848,MICHAEL KOCAK,,,USD,1.65,0.00,,0.00,0.00,21.65,21.65,,0.00,0.00,0.00,Cash,,,Paid
17-Sep-2022 07:05 PM EDT,VYPYQ1M4AH5MC,,80,,999VWR115M848,MICHAEL KOCAK,,,USD,2.31,0.00,,0.00,0.00,30.31,30.31,,0.00,0.00,0.00,Cash,,,Paid
17-Sep-2022 07:04 PM EDT,ZA4QS6F187W9E,,79,,999VWR115M848,MICHAEL KOCAK,,,USD,1.65,0.00,,0.00,0.00,21.65,21.65,,0.00,0.00,0.00,Debit Card,620563,226000506790,Paid
17-Sep-2022 07:02 PM EDT,4YKWMBE662QH4,,78,,999VWR115M848,MICHAEL KOCAK,,,USD,3.30,0.00,,0.00,0.00,43.30,43.30,,0.00,0.00,0.00,Debit Card,002036,226000506773,Paid
17-Sep-2022 07:01 PM EDT,SA01FQQ2MEJ6T,,77,,999VWR115M848,MICHAEL KOCAK,,,USD,2.15,4.22,,0.00,0.00,28.15,28.15,,0.00,0.00,0.00,Credit Card,06093D,226000506756,Paid
17-Sep-2022 07:00 PM EDT,X6NRFVADK3ZXM,,76,,999VWR115M848,MICHAEL KOCAK,,,USD,2.15,0.00,,0.00,0.00,28.15,28.15,,0.00,0.00,0.00,Credit Card,01791B,226000506739,Paid
17-Sep-2022 06:59 PM EDT,PQ8891EWKTXQ4,,75,,999VWR115M848,MICHAEL KOCAK,,,USD,1.65,4.33,,0.00,0.00,21.65,21.65,,0.00,0.00,0.00,Credit Card,489017,226000506722,Paid
17-Sep-2022 06:58 PM EDT,64BW2JPMSBVFC,,74,,999VWR115M848,MICHAEL KOCAK,,,USD,1.65,3.90,,0.00,0.00,21.65,21.65,,0.00,0.00,0.00,Debit Card,145886,226000506705,Paid
17-Sep-2022 06:57 PM EDT,6JGT998NY5TJ0,,73,,999VWR115M848,MICHAEL KOCAK,,,USD,1.49,2.00,,0.00,0.00,19.49,19.49,,0.00,0.00,0.00,Credit Card,01676I,226000506688,Paid
17-Sep-2022 06:56 PM EDT,PEQJ58Q641BCM,,72,,999VWR115M848,MICHAEL KOCAK,,,USD,0.41,0.00,,0.00,0.00,5.41,5.41,,0.00,0.00,0.00,Cash,,,Paid
17-Sep-2022 06:54 PM EDT,T9AX3X9YXTX0A,,71,,999VWR115M848,MICHAEL KOCAK,,,USD,2.72,0.00,,0.00,0.00,35.72,35.72,,0.00,0.00,0.00,Cash,,,Paid
17-Sep-2022 06:53 PM EDT,SPWJ2Y74NEGJP,,70,,999VWR115M848,MICHAEL KOCAK,,,USD,1.65,0.00,,0.00,0.00,21.65,21.65,,0.00,0.00,0.00,Cash,,,Paid
17-Sep-2022 06:52 PM EDT,TQX3SKM49Y6KC,,69,,999VWR115M848,MICHAEL KOCAK,,,USD,1.65,0.00,,0.00,0.00,21.65,21.65,,0.00,0.00,0.00,Cash,,,Paid
17-Sep-2022 06:51 PM EDT,EX88E62NM7XRC,,68,,999VWR115M848,MICHAEL KOCAK,,,USD,0.91,0.00,,0.00,0.00,11.91,11.91,,0.00,0.00,0.00,Debit Card,001272,226000506671,Paid
17-Sep-2022 06:50 PM EDT,KSZB2QK0MBN4M,,67,,999VWR115M848,MICHAEL KOCAK,,,USD,1.49,3.90,,0.00,0.00,19.49,19.49,,0.00,0.00,0.00,Debit Card,000113,226000506654,Paid
17-Sep-2022 06:49 PM EDT,JS4BZGF6Z58F4,,66,,999VWR115M848,MICHAEL KOCAK,,,USD,1.49,2.92,,0.00,0.00,19.49,19.49,,0.00,0.00,0.00,Credit Card,04570D,226000506637,Paid
17-Sep-2022 06:42 PM EDT,21V1X65Z0ZCJA,,65,,999VWR115M848,MICHAEL KOCAK,,,USD,1.07,2.00,,0.00,0.00,14.07,14.07,,0.00,0.00,0.00,Credit Card,56144Z,226000506620,Paid
17-Sep-2022 06:41 PM EDT,DWNDV55X8TN68,,64,,999VWR115M848,MICHAEL KOCAK,,,USD,1.65,0.00,,0.00,0.00,21.65,21.65,,0.00,0.00,0.00,Cash,,,Paid
17-Sep-2022 06:39 PM EDT,K5AR17GKFGW4T,,63,,999VWR115M848,MICHAEL KOCAK,,,USD,1.65,0.00,,0.00,0.00,21.65,21.65,,0.00,0.00,0.00,Cash,,,Paid
17-Sep-2022 06:38 PM EDT,CATVG700ZGGV8,,62,,999VWR115M848,MICHAEL KOCAK,,,USD,1.65,0.00,,0.00,0.00,21.65,21.65,,0.00,0.00,0.00,Debit Card,057349,226000506603,Paid
17-Sep-2022 06:36 PM EDT,18T247N70SFM2,,61,,999VWR115M848,MICHAEL KOCAK,,,USD,0.80,0.00,,0.00,-3.25,10.55,10.55,,0.00,0.00,0.00,Cash,,,Paid
17-Sep-2022 06:34 PM EDT,7G7TCA78TB5K8,,60,,999VWR115M848,MICHAEL KOCAK,,,USD,1.65,0.00,,0.00,0.00,21.65,21.65,,0.00,0.00,0.00,Credit Card,05233B,226000506586,Paid
17-Sep-2022 06:33 PM EDT,F0CMKG346WWNE,,59,,999VWR115M848,MICHAEL KOCAK,,,USD,1.65,3.25,,0.00,0.00,21.65,21.65,,0.00,0.00,0.00,Debit Card,058237,226000506569,Paid
17-Sep-2022 06:31 PM EDT,EFR50H2JYPGAG,,58,,999VWR115M848,MICHAEL KOCAK,,,USD,1.65,0.00,,0.00,0.00,21.65,21.65,,0.00,0.00,0.00,Credit Card,816017,226000506552,Paid
17-Sep-2022 06:29 PM EDT,AT7N913CR5R56,,57,,999VWR115M848,MICHAEL KOCAK,,,USD,1.65,0.00,,0.00,0.00,21.65,21.65,,0.00,0.00,0.00,Credit Card,828436,226000506535,Paid
17-Sep-2022 06:27 PM EDT,7P2YPPBGT932T,,56,,999VWR115M848,MICHAEL KOCAK,,,USD,1.07,0.00,,0.00,0.00,14.07,14.07,,0.00,0.00,0.00,Cash,,,Paid
17-Sep-2022 06:26 PM EDT,B3G46EE9M67MP,,55,,999VWR115M848,MICHAEL KOCAK,,,USD,1.49,0.00,,0.00,0.00,19.49,19.49,,0.00,0.00,0.00,Debit Card,002362,226000506518,Paid
17-Sep-2022 06:22 PM EDT,62T1YZRJ0GXP8,,54,,999VWR115M848,MICHAEL KOCAK,,,USD,1.07,2.11,,0.00,0.00,14.07,14.07,,0.00,0.00,0.00,Credit Card,06694D,226000506501,Paid
17-Sep-2022 06:21 PM EDT,2V0CZDK8MK8PC,,53,,999VWR115M848,MICHAEL KOCAK,,,USD,1.65,2.00,,0.00,0.00,21.65,21.65,,0.00,0.00,0.00,Credit Card,04957C,226000506484,Paid
17-Sep-2022 06:18 PM EDT,F319FVMC6KWSY,,52,,999VWR115M848,MICHAEL KOCAK,,,USD,1.07,0.00,,0.00,0.00,14.07,14.07,,0.00,0.00,0.00,Cash,,,Paid
17-Sep-2022 06:16 PM EDT,YHVXK8AMF5VVG,,51,,999VWR115M848,MICHAEL KOCAK,,,USD,1.07,2.53,,0.00,0.00,14.07,14.07,,0.00,0.00,0.00,Debit Card,001972,226000506467,Paid
17-Sep-2022 06:14 PM EDT,XBG0A2TRTABAY,,50,,999VWR115M848,MICHAEL KOCAK,,,USD,0.41,0.00,,0.00,0.00,5.41,5.41,,0.00,0.00,0.00,Debit Card,000439,226000506450,Paid
17-Sep-2022 06:13 PM EDT,6P3S0SMGKGRPT,,49,,999VWR115M848,MICHAEL KOCAK,,,USD,2.72,0.00,,0.00,0.00,35.72,35.72,,0.00,0.00,0.00,Debit Card,000923,226000506416,Paid
17-Sep-2022 06:12 PM EDT,5EH8XY2HV38Q2,,48,,999VWR115M848,MICHAEL KOCAK,,,USD,0.25,0.00,,0.00,0.00,3.25,3.25,,0.00,0.00,0.00,Debit Card,191320,226000506399,Paid
17-Sep-2022 06:11 PM EDT,BAW1468VZMCGM,,47,,999VWR115M848,MICHAEL KOCAK,,,USD,1.65,3.90,,0.00,0.00,21.65,21.65,,0.00,0.00,0.00,Credit Card,09894G,226000506382,Paid
17-Sep-2022 06:10 PM EDT,RPNXSE537YNE8,,46,,999VWR115M848,MICHAEL KOCAK,,,USD,1.32,3.46,,0.00,0.00,17.32,17.32,,0.00,0.00,0.00,Credit Card,01295Z,226000506365,Paid
17-Sep-2022 06:09 PM EDT,Y5PP3EVE1Y4WP,,45,,999VWR115M848,MICHAEL KOCAK,,,USD,2.06,0.00,,0.00,0.00,27.06,27.06,,0.00,0.00,0.00,Debit Card,101502,226000506348,Paid
17-Sep-2022 06:08 PM EDT,0PFJQ0C8R9ESC,,44,,999VWR115M848,MICHAEL KOCAK,,,USD,1.65,0.00,,0.00,0.00,21.65,21.65,,0.00,0.00,0.00,Debit Card,000970,226000506331,Paid
17-Sep-2022 06:07 PM EDT,115G10TEH2QVE,,43,,999VWR115M848,MICHAEL KOCAK,,,USD,1.07,2.11,,0.00,0.00,14.07,14.07,,0.00,0.00,0.00,Debit Card,170372,226000506314,Paid
17-Sep-2022 06:05 PM EDT,AFK6YWG2Z3A4W,,42,,999VWR115M848,MICHAEL KOCAK,,,USD,2.72,5.36,,0.00,0.00,35.72,35.72,,0.00,0.00,0.00,Credit Card,05613D,226000506297,Paid
17-Sep-2022 06:04 PM EDT,04RZ1ZBM7JXBJ,,41,,999VWR115M848,MICHAEL KOCAK,,,USD,1.65,0.00,,0.00,0.00,21.65,21.65,,0.00,0.00,0.00,Cash,,,Paid
17-Sep-2022 06:03 PM EDT,83XVD4R6P0V4Y,,40,,999VWR115M848,MICHAEL KOCAK,,,USD,1.49,2.92,,0.00,0.00,19.49,19.49,,0.00,0.00,0.00,Credit Card,00216Z,226000506280,Paid
17-Sep-2022 06:02 PM EDT,1CJ86V2HABVQ0,,39,,999VWR115M848,MICHAEL KOCAK,,,USD,1.65,0.00,,0.00,0.00,21.65,21.65,,0.00,0.00,0.00,Debit Card,180423,226000506263,Paid
17-Sep-2022 05:58 PM EDT,1XAT2HMF94F7C,,38,,999VWR115M848,MICHAEL KOCAK,,,USD,1.65,0.00,,0.00,0.00,21.65,21.65,,0.00,0.00,0.00,Debit Card,002283,226000506246,Paid
17-Sep-2022 05:57 PM EDT,FET0XC251Z8N0,,37,,999VWR115M848,MICHAEL KOCAK,,,USD,1.65,0.00,,0.00,0.00,21.65,21.65,,0.00,0.00,0.00,Credit Card,02244G,226000506229,Paid
17-Sep-2022 05:56 PM EDT,47TJ0DMVYK33R,,36,,999VWR115M848,MICHAEL KOCAK,,,USD,2.56,5.03,,0.00,0.00,33.56,33.56,,0.00,0.00,0.00,Credit Card,804520,226000506212,Paid
17-Sep-2022 05:55 PM EDT,HV5MZ77PB85V8,,35,,999VWR115M848,MICHAEL KOCAK,,,USD,0.41,0.81,,0.00,0.00,5.41,5.41,,0.00,0.00,0.00,Debit Card,015517,226000506195,Paid
17-Sep-2022 05:54 PM EDT,2XP43GQ6ETHPW,,34,,999VWR115M848,MICHAEL KOCAK,,,USD,1.65,0.00,,0.00,0.00,21.65,21.65,,0.00,0.00,0.00,Credit Card,017176,226000506178,Paid
17-Sep-2022 05:52 PM EDT,MJ195JN08R7XJ,,33,,999VWR115M848,MICHAEL KOCAK,,,USD,1.07,0.00,,0.00,0.00,14.07,14.07,,0.00,0.00,0.00,Credit Card,01756B,226000506161,Paid
17-Sep-2022 05:50 PM EDT,161QSK9ZJJZY4,,32,,999VWR115M848,MICHAEL KOCAK,,,USD,3.30,6.50,,0.00,0.00,43.30,43.30,,0.00,0.00,0.00,Credit Card,017861,226000506144,Paid
17-Sep-2022 05:49 PM EDT,3D3H692DN136Y,,31,,999VWR115M848,MICHAEL KOCAK,,,USD,1.65,1.00,,0.00,0.00,21.65,21.65,,0.00,0.00,0.00,Debit Card,001291,226000506127,Paid
17-Sep-2022 05:48 PM EDT,F5A3AA2XQA9K8,,30,,999VWR115M848,MICHAEL KOCAK,,,USD,2.15,4.22,,0.00,0.00,28.15,28.15,,0.00,0.00,0.00,Credit Card,017316,226000506093,Paid
17-Sep-2022 05:46 PM EDT,F8CMCD1SFGS4C,,29,,999VWR115M848,MICHAEL KOCAK,,,USD,3.30,7.79,,0.00,0.00,43.30,43.30,,0.00,0.00,0.00,Credit Card,01642Z,226000506076,Paid
17-Sep-2022 05:44 PM EDT,JQ90JY0P53S20,,28,,999VWR115M848,MICHAEL KOCAK,,,USD,2.72,0.00,,0.00,0.00,35.72,35.72,,0.00,0.00,0.00,"Cash, Debit Card",000259,226000506059,Paid
17-Sep-2022 05:43 PM EDT,KNPF6Q2P2S9PR,,27,,999VWR115M848,MICHAEL KOCAK,,,USD,2.97,3.00,,0.00,0.00,38.97,38.97,,0.00,0.00,0.00,Credit Card,02800S,226000506042,Paid
17-Sep-2022 05:42 PM EDT,KVMMVJMS2VY1C,,26,,999VWR115M848,MICHAEL KOCAK,,,USD,1.65,3.25,,0.00,0.00,21.65,21.65,,0.00,0.00,0.00,Credit Card,017165,226000506025,Paid
17-Sep-2022 05:37 PM EDT,YDCA0R03FBAWM,,25,,999VWR115M848,MICHAEL KOCAK,,,USD,1.65,0.00,,0.00,0.00,21.65,21.65,,0.00,0.00,0.00,Credit Card,817447,226000506008,Paid
